metric,reason
trend.yaw_phase_1hz_velocity_slope,velocity-slope diagnostic excluded from first-pass plots
trend.yaw_phase_0p5hz_velocity_slope,velocity-slope diagnostic excluded from first-pass plots
trend.ay_lag_0p5hz_velocity_slope,velocity-slope diagnostic excluded from first-pass plots
trend.yaw_lag_0p5hz_velocity_slope,velocity-slope diagnostic excluded from first-pass plots
trend.yaw_to_ay_lag_0p5hz_velocity_slope,velocity-slope diagnostic excluded from first-pass plots
trend.ay_lag_1hz_velocity_slope,velocity-slope diagnostic excluded from first-pass plots
trend.yaw_lag_1hz_velocity_slope,velocity-slope diagnostic excluded from first-pass plots
trend.yaw_to_ay_lag_1hz_velocity_slope,velocity-slope diagnostic excluded from first-pass plots
trend.lag_steer_to_ay_velocity_slope,velocity-slope diagnostic excluded from first-pass plots
trend.lag_steer_to_yaw_velocity_slope,velocity-slope diagnostic excluded from first-pass plots
trend.yaw_to_ay_lag_velocity_slope,velocity-slope diagnostic excluded from first-pass plots
trend.ay_phase_45_freq_velocity_slope,velocity-slope diagnostic excluded from first-pass plots
trend.yaw_phase_45_freq_velocity_slope,velocity-slope diagnostic excluded from first-pass plots
trend.ay_gain_slope_velocity_slope,velocity-slope diagnostic excluded from first-pass plots
trend.yaw_gain_slope_velocity_slope,velocity-slope diagnostic excluded from first-pass plots
trend.ay_phase_slope_velocity_slope,velocity-slope diagnostic excluded from first-pass plots
trend.yaw_phase_slope_velocity_slope,velocity-slope diagnostic excluded from first-pass plots
trend.gain_variation_pct_velocity_slope,velocity-slope diagnostic excluded from first-pass plots
trend.ay_fit_error_velocity_slope,velocity-slope diagnostic excluded from first-pass plots
trend.yaw_fit_error_velocity_slope,velocity-slope diagnostic excluded from first-pass plots
